field_of_study,education_level,skills,career_goals,location_preference,learning_style,recommended_program
IT,High School,Coding,Software Engineer,Urban,online,Computer Science
IT,Bachelor,Data Analysis,Data Scientist,Urban,online,Data Science
Business,Bachelor,Management,Entrepreneur,Urban,offline,Business Management
Design,Diploma,Creative,Graphic Designer,Urban,offline,Visual Communication
Health,Bachelor,Caregiving,Nurse,Rural,hybrid,Nursing
Education,High School,Teaching,Teacher,Rural,online,Education
Engineering,Bachelor,Problem Solving,Engineer,Urban,offline,Engineering
Law,Bachelor,Research,Lawyer,Urban,online,Law
Agriculture,Diploma,Farming,Agronomist,Rural,offline,Agriculture
Psychology,Bachelor,Communication,Counselor,Urban,online,Psychology
IT,Master,Machine Learning,AI Specialist,Urban,online,Computer Science
Business,Master,Leadership,Manager,Urban,offline,Business Management
Health,Master,Research,Medical Researcher,Urban,hybrid,Medical Science
Education,Master,Curriculum Development,Academic,Urban,online,Education
Design,Master,UX Design,Product Designer,Urban,offline,Visual Communication
Engineering,Master,Project Management,Project Engineer,Urban,online,Engineering
Law,Master,Negotiation,Legal Advisor,Urban,offline,Law
Agriculture,Master,Soil Science,Researcher,Rural,online,Agriculture
Psychology,Master,Clinical Skills,Therapist,Urban,hybrid,Psychology
IT,Diploma,Networking,System Administrator,Urban,offline,Computer Science
Business,Diploma,Sales,Sales Manager,Urban,online,Business Management
Health,Diploma,First Aid,Paramedic,Rural,offline,Nursing
Education,Diploma,Childcare,Preschool Teacher,Rural,online,Education
Engineering,Diploma,Technical Drawing,Technician,Urban,offline,Engineering
Law,Diploma,Legal Documentation,Paralegal,Urban,online,Law
Agriculture,Bachelor,Animal Husbandry,Veterinarian,Rural,hybrid,Agriculture
Psychology,Diploma,Social Work,Social Worker,Urban,offline,Psychology
IT,High School,Web Development,Frontend Developer,Urban,online,Computer Science
Business,High School,Marketing,Marketing Assistant,Urban,offline,Business Management
Health,High School,Phlebotomy,Lab Technician,Rural,online,Nursing
Education,High School,Special Education,Special Ed Teacher,Rural,offline,Education
Engineering,High School,AutoCAD,Drafter,Urban,online,Engineering
Law,High School,Public Speaking,Legal Assistant,Urban,offline,Law
Agriculture,High School,Organic Farming,Farm Manager,Rural,online,Agriculture
Psychology,High School,Behavioral Analysis,Behavior Analyst,Urban,offline,Psychology
